protein
CREB
NF-κB p65
p300/CBP
CRM1
MHC-I
IKKγ (NEMO)
CBP
EP300
AP-1
STAT3
NFAT
TAK1
TRAF2
TRAF6
IκBα
RBP-Jκ
CD4
CD8
IL-2
IL-15
Bcl-2
Bcl-xL
Cyclin D1
Cyclin E
p53
ATM
BRCA1
HDAC1
HDAC2
